station_name,coords,latitude,longitude,names,admin1,admin2,country
"KALLAKKURICHCHI, IN","(11.733, 78.967)",11.7404,78.959,Kallakkurichchi,Tamil Nadu,Villupuram,IN
"WHALE COVE AIRPORT, CA","(62.2333333, -92.6)",62.81732,-92.08324,Rankin Inlet,Nunavut,,CA
"LOEI AGROMET, TH","(17.4, 101.7333333)",17.49052,101.72749,Loei,Loei,,TH
"WENJIANG, CH","(30.75, 103.8666666)",30.7,103.83771,Liucheng,Sichuan,,CN
"ISHIGAKI, JA","(24.344525, 124.186983)",24.34478,124.15717,Ishigaki,Okinawa,,JP
"POSSE, BR","(-14.1, -46.3666666)",-14.09306,-46.36944,Posse,Goias,Posse,BR
"STANLY CO AIRPORT, NC US","(35.41667, -80.15056)",35.40597,-80.11672,Badin,North Carolina,Stanly County,US
"MORELIA MICH., MX","(19.7, -101.1833333)",19.70078,-101.18443,Morelia,Michoacan,,MX
"BABANANGO, SF","(-28.3666666, 31.2166666)",-28.33523,31.41617,Ulundi,KwaZulu-Natal,Zululand District Municipality,ZA
"AIN BENAIN, AG","(36.7833333, 2.8833333)",36.80277,2.92185,'Ain Benian,Tipaza,,DZ
"ST JOSEPH ROSECRANS MEMORIAL AIRPORT, MO US","(39.76829, -94.90953)",39.75555,-94.87247,Elwood,Kansas,Doniphan County,US
"NIKOLAI AIRPORT, AK US","(63.017, -154.367)",60.69028,-151.28889,Nikiski,Alaska,Kenai Peninsula Borough,US
"STAFHOLTSEY, IC","(64.6166666, -21.6)",64.53834,-21.92064,Borgarnes,West,,IS
"COFFEE BAY, SF","(-31.95, 29.1333333)",-31.54331,29.0164,Libode,Eastern Cape,OR Tambo District Municipality,ZA
"WAKAYAMA, JA","(34.2333333, 135.1666666)",34.22611,135.1675,Wakayama-shi,Wakayama,,JP
"NAJAF, IZ","(31.95, 44.3166666)",32.02594,44.34625,An Najaf,An Najaf,,IQ
"ARRAIAL DO CABO, BR","(-22.9761111, -42.0213889)",-22.96611,-42.02778,Arraial do Cabo,Rio de Janeiro,Arraial Do Cabo,BR
"AKHIOK, AK US","(56.9333333, -154.1833333)",57.76587,-152.60004,Kodiak Station,Alaska,Kodiak Island Borough,US
"TALLINN, EN","(59.413317, 24.832844)",59.45806,24.87833,Kose,Harju,Tallinna linn,EE
"KATTERJAKK A, SW","(68.4166666, 18.1666666)",68.86099,18.34857,Setermoen,Troms,Bardu,NO
"SALIMA, MI","(-13.75, 34.5833333)",-13.7804,34.4587,Salima,Central Region,Salima District,MW
"ANEITYUM, NH","(-20.2333333, 169.7666666)",-19.55,169.26667,Isangel,Tafea,,VU
"GOVE, AS","(-12.269444, 136.818333)",-12.18652,136.78201,Nhulunbuy,Northern Territory,East Arnhem,AU
"RAURIS, AU","(47.2166666, 13.0)",47.22656,12.99459,Rauris,Salzburg,Politischer Bezirk Zell am See,AT
"REUTTE TIROL, AU","(47.5, 10.75)",47.48333,10.73333,Breitenwang,Tyrol,Politischer Bezirk Reutte,AT
"HVERAVELLIR, IC","(64.8666666, -19.5666666)",65.74611,-19.63944,Saudarkrokur,Northwest,,IS
"DUNDEE, UK","(56.452499, -3.025833)",56.46913,-2.97489,Dundee,Scotland,Dundee City,GB
"GREENVILLE DOWNTOWN AIRPORT, SC US","(34.84872, -82.35006)",34.85262,-82.39401,Greenville,South Carolina,Greenville County,US
"WHEATON MUNICIPAL AIRPORT, MN US","(45.77972, -96.54472)",45.80441,-96.49923,Wheaton,Minnesota,Traverse County,US
"SOLANDER ISLAND AUT BC, CA","(50.1, -127.9333333)",49.15314,-125.90744,Tofino,British Columbia,Regional District of Alberni-Clayoquot,CA
"ROB MUANG, TH","(16.07035, 103.6459)",16.0567,103.65309,Roi Et,Roi Et,,TH
"BARIPADA, IN","(21.9333333, 86.7666666)",21.52798,86.87156,Remuna,Odisha,Baleshwar,IN
"VICTORIA GONZALES CS BC, CA","(48.4, -123.3166666)",48.44964,-123.3026,Oak Bay,British Columbia,,CA
"QAIROON HAIRITI, MU","(17.25, 54.0833333)",17.01505,54.09237,Salalah,Zufar,,OM
"OUESSANT, FR","(48.4833333, -5.05)",48.5,-4.76667,Porspoder,Brittany,Departement du Finistere,FR
"ARORAE ISLAND, KR","(-2.6666667, 176.8333333)",-6.10819,177.33393,Kulia Village,Niutao,,TV
"ITIQUIRA, BR","(-17.1833333, -54.5)",-16.47083,-54.63556,Rondonopolis,Mato Grosso,Rondonopolis,BR
"EL DORET INTERNATIONAL, KE","(0.404458, 35.2388992)",0.52036,35.26993,Eldoret,Uasin Gishu,,KE
"BANDUNDU, CG","(-3.311319, 17.381683)",-3.31687,17.38063,Bandundu,Bandundu,,CD
"TOLBO, MG","(48.4166667, 90.3)",48.41667,90.28333,Tolbo,Bayan-Olgiy,,MN
"MONCLOVA INTERNATIONAL, MX","(26.955733, -101.470136)",26.97722,-101.48083,Colonia Diana Laura Riojas de Colosio,Coahuila,Frontera,MX
"NNAMDI AZIKIWE INTERNATIONAL, NI","(9.006781, 7.263175)",9.10444,7.21333,Madala,Abuja Federal Capital Territory,,NG
"MINNEAPOLIS CRYSTAL AIRPORT, MN US","(45.06222, -93.35107)",45.07608,-93.33273,Brooklyn Center,Minnesota,Hennepin County,US
"OROVILLE MUNICIPAL AIRPORT, CA US","(39.4943, -121.62226)",39.51128,-121.58692,Thermalito,California,Butte County,US
"CELJE, SI","(46.2333333, 15.2333333)",46.23092,15.26044,Celje,Celje,,SI
"ULETY, RS","(51.35, 112.4666666)",51.35589,112.4843,Ulety,Transbaikal Territory,,RU
"LAKATRASK, SW","(66.2833333, 21.1333333)",65.67624,21.00162,AElvsbyn,Norrbotten,Alvsbyns Kommun,SE
"SALT POINT, LA US","(29.559027, -91.525054)",29.79604,-91.5015,Franklin,Louisiana,Saint Mary Parish,US
"BATAM HANG NADIM, ID","(1.1166666, 104.1166666)",1.28967,103.85007,Singapore,,,SG
"ESTREITO, BR","(-6.65, -47.4166666)",-6.33833,-47.39917,Porto Franco,Maranhao,Porto Franco,BR
"COLUMBUS BOLTON FIELD, OH US","(39.9, -83.13333)",39.88145,-83.09296,Grove City,Ohio,Franklin County,US
"LUPIN CS CS, CA","(65.75, -111.25)",67.82743,-115.09649,Kugluktuk,Nunavut,,CA
"ST. PETERS PEI, CA","(46.45, -62.5666666)",46.16681,-62.64866,Montague,Prince Edward Island,,CA
"ALBUQUERQUE INTERNATIONAL AIRPORT, NM US","(35.04189, -106.61545)",35.08449,-106.65114,Albuquerque,New Mexico,Bernalillo County,US
"MALINDI, KE","(-3.229306, 40.101667)",-3.21799,40.11692,Malindi,Kilifi,,KE
"TERSCHELLING HOORN AWS, NL","(53.4, 5.35)",53.35911,5.21482,West-Terschelling,Friesland,Gemeente Terschelling,NL
"MORIARTY AIRPORT, NM US","(34.98472, -106.0)",34.99005,-106.04919,Moriarty,New Mexico,Torrance County,US
"KRASNYY KHOLM, RS","(58.0333333, 37.1)",58.0607,37.12032,Krasnyy Kholm,Tverskaya,,RU
"LINDEN AIRPORT, NJ US","(40.617, -74.25)",40.62205,-74.24459,Linden,New Jersey,Union County,US
"SIRDAL SINNES, NO","(58.9333333, 6.9166666)",58.66263,6.71694,Tonstad,Vest-Agder,Sirdal,NO
"NOVYJ TOR JAL, RS","(57.0, 48.7333333)",56.81111,48.91278,Kuzhener,Mariy-El,,RU
"BORODINE, KZ","(49.967, 81.467)",49.7105,81.5821,Bakyrshik,East Kazakhstan,,KZ
"PHILLIPS PRICE CO AIRPORT, WI US","(45.70889, -90.40222)",45.69663,-90.40043,Phillips,Wisconsin,Price County,US
"MASINDI, UG","(1.6833333, 31.7166667)",1.67444,31.715,Masindi,Western Region,Masindi District,UG
"CEVIO, SZ","(46.3166666, 8.6)",46.31608,8.60131,Cevio,Ticino,Vallemaggia District,CH
"MENARA, MO","(31.606886, -8.0363)",31.63416,-7.99994,Marrakesh,Marrakech-Tensift-Al Haouz,Marrakech,MA
"SERTAR, CH","(32.2833333, 100.3333333)",32.27146,100.33316,Seke,Sichuan,,CN
"BAISE, CH","(23.9, 106.6)",23.89972,106.61333,Baise City,Guangxi Zhuangzu Zizhiqu,,CN
"CARIBOU POINT AUT NS, CA","(45.7666666, -62.6833333)",45.67875,-62.70936,Pictou,Nova Scotia,,CA
"LAJITAS INTERNATIONAL AIRPORT, TX US","(29.277956, -103.687258)",29.56074,-104.37215,Presidio,Texas,Presidio County,US
"CIREBON JATIWANGI, ID","(-6.75, 108.2666666)",-6.73361,108.26278,Jatiwangi,West Java,,ID
"DUDINCE, LO","(48.1666666, 18.8666666)",48.17135,18.88782,Dudince,Banskobystricky,,SK
"DOTHAN REGIONAL AIRPORT, AL US","(31.31767, -85.44324)",31.31906,-85.49382,Midland City,Alabama,Dale County,US
"KLEVAVATNET, NO","(60.7166666, 7.2166666)",60.90578,7.18706,Aurlandsvangen,Sogn og Fjordane,Aurland,NO
"ORAN, AR","(-23.152779, -64.32917)",-23.13705,-64.32426,San Ramon de la Nueva Oran,Salta,,AR
"FORT MCPHERSON, CA","(67.4075, -134.860556)",67.43863,-134.88543,Fort McPherson,Northwest Territories,,CA
"FLEMING MASON AIRPORT, KY US","(38.541806, -83.743389)",38.64119,-83.74437,Maysville,Kentucky,Mason County,US
"GRAJAU, BR","(-5.8166666, -46.1666666)",-5.81944,-46.13861,Grajau,Maranhao,Grajau,BR
"GULLHOLMEN, NO","(59.4333333, 10.5833333)",59.43403,10.65771,Moss,Ostfold,Moss,NO
"MUTORAJ, RS","(61.3333333, 100.4833333)",60.34679,102.28434,Vanavara,Krasnoyarskiy,,RU
"HAMI, CH","(42.8166667, 93.5166667)",42.83393,93.50601,Hami,Xinjiang Uygur Zizhiqu,,CN
"ZAOYANG, CH","(32.15, 112.6666666)",32.12722,112.75417,Zaoyang,Hubei,,CN
"LEINSTER AERO, AS","(-27.85, 120.7)",-30.74614,121.4742,Kalgoorlie,Western Australia,Kalgoorlie/Boulder,AU
"KARPATHOS AIRPORT, GR","(35.4275, 27.1469444)",35.50701,27.21322,Karpathos,South Aegean,Nomos Dodekanisou,GR
"RUTBAH, IZ","(33.0333333, 40.2833333)",33.03718,40.28586,Ar Rutbah,Anbar,,IQ
"ATLEE, CA","(50.8, -111.0)",50.05006,-110.66834,Medicine Hat,Alberta,,CA
"MAE JO AGROMET, TH","(18.9166666, 99.0)",18.84792,99.04508,San Sai,Chiang Mai,,TH
"TRIESTE, IT","(45.65, 13.75)",45.64325,13.7903,Trieste,Friuli Venezia Giulia,Provincia di Trieste,IT
"MEADVILLE PORT MEADVILLE AIRPORT, PA US","(41.62584, -80.21231)",41.64144,-80.15145,Meadville,Pennsylvania,Crawford County,US
"GUWAHATI INTERNATIONAL, IN","(26.106092, 91.585939)",26.12388,91.53974,Palasbari,Assam,Kamrup,IN
"PONFERRADA, SP","(42.5666666, -6.6)",42.54664,-6.59619,Ponferrada,Castille and Leon,Provincia de Leon,ES
"TORREJON, SP","(40.496747, -3.445872)",40.54293,-3.45457,Daganzo de Arriba,Madrid,Provincia de Madrid,ES
"NAFPLION, GR","(37.583, 22.767)",37.59023,22.74342,Nea Kios,Peloponnese,Nomos Argolidos,GR
"OSTASKOV, RS","(57.1333333, 33.1166666)",57.14667,33.10753,Ostashkov,Tverskaya,,RU
"PRUDHOE BAY, AK US","(70.4, -148.52)",70.25528,-148.33722,Prudhoe Bay,Alaska,North Slope Borough,US
"GOLD COAST SEAWAY, AS","(-27.9333333, 153.4333333)",-27.97879,153.4266,Main Beach,Queensland,Gold Coast,AU
"BERRY AU BAC, FR","(0.0, 0.0)",4.88447,-1.75536,Takoradi,Western,,GH
"VERHNEVILJUJSK, RS","(63.45, 120.3166666)",63.44578,120.30739,Verkhnevilyuysk,Sakha,Verkhnevilyuysky District,RU
"KANGIRSUK A, CA","(60.0333333, -70.0)",63.74697,-68.51727,Iqaluit,Nunavut,,CA
"LISALA, CG","(2.3166666, 21.5666666)",2.15127,21.51672,Lisala,Equateur,,CD
"KUITO, AO","(-12.404633, 16.947414)",-12.38333,16.93333,Cuito,Bie,,AO
"LAKE CHARLES CHENNAULT INTERNATIONAL AIRPORT, LA US","(30.21028, -93.14333)",30.21309,-93.2044,Lake Charles,Louisiana,Calcasieu Parish,US
"PRESOV, LO","(49.0333333, 21.3166666)",48.99839,21.23393,Presov,Presovsky,Okres Presov,SK
"ARVIDSJAUR, SW","(65.590278, 19.281944)",65.59033,19.16682,Arvidsjaur,Norrbotten,Arvidsjaurs Kommun,SE
"SANTANDER, SP","(43.427064, -3.820006)",43.40094,-3.82051,El Astillero,Cantabria,Provincia de Cantabria,ES
"PORI, FI","(61.461686, 21.799983)",61.48333,21.78333,Pori,Satakunta,Pori,FI
"STERLITAMAK, RS","(53.5833333, 55.9336111)",53.62462,55.95015,Sterlitamak,Bashkortostan,,RU
"MINSK 2, BO","(53.882469, 28.030731)",53.7496,28.0115,Smilavichy,Minsk,,BY
"ILIRNEJ, RS","(67.25, 167.9666666)",68.05464,166.43721,Bilibino,Chukotskiy Avtonomnyy Okrug,Bilibinskiy Rayon,RU
"NADARZYCE, PL","(53.45, 16.5)",53.46823,16.60583,Sypniewo,Greater Poland Voivodeship,Powiat zlotowski,PL
"SONG TU TAY SOUTH WEST CAY, VM","(11.4166666, 114.3333333)",8.78417,117.42306,Panalingaan,Mimaropa,Province of Palawan,PH
"BALDRICK AWS, AY","(-82.7666666, -13.05)",-54.28111,-36.5092,Grytviken,,,GS
"WEINING, CH","(26.8666666, 104.2833333)",26.85,104.23333,Weining,Guizhou Sheng,,CN
"COPPER HARBOR, MI US","(47.467386, -87.875032)",47.41381,-88.29566,Eagle River,Michigan,Keweenaw County,US
"GUBBHOGEN, SW","(64.2166666, 15.55)",63.85206,15.55583,Stroemsund,Jaemtland,Stroemsunds Kommun,SE
"KALABO, ZA","(-14.85, 22.7)",-14.97005,22.68138,Kalabo,Western,,ZM
"TORBAT HEYDARIEH, IR","(35.2666666, 59.2166666)",35.27401,59.21949,Torbat-e Heydariyeh,Razavi Khorasan,,IR
"KUDYMKAR, RS","(58.9833333, 54.65)",59.01306,54.65556,Kudymkar,Perm,,RU
"JEFFERSON CITY MEMORIAL AIRPORT, MO US","(38.59454, -92.15672)",38.5767,-92.17352,Jefferson City,Missouri,Cole County,US
"NAHA, JA","(26.2, 127.6833333)",26.2125,127.68111,Naha-shi,Okinawa,,JP
"IRAKO, JA","(34.6333333, 137.1)",34.66667,137.26667,Tahara,Aichi,,JP
"HADITHAH, IZ","(34.1333333, 42.35)",34.13477,42.37724,Hadithah,Anbar,,IQ
"ALABAT, RP","(14.1, 122.0166666)",14.101,122.0125,Alabat,Calabarzon,Province of Quezon,PH
"KAGOSHIMA, JA","(31.803397, 130.719408)",31.73333,130.76667,Kokubu-matsuki,Kagoshima,,JP
"MUNDO MAYA INTERNATIONAL AIRPORT, GT","(16.9, -89.8666666)",16.92258,-89.89941,Flores,Peten,Municipio de Flores,GT
"KARLOVY VARY, EZ","(50.202978, 12.914983)",50.24779,12.89581,Dalovice,Karlovarsky,,CZ
"GEORGETOWN DELAWARE COASTAL AIRPORT, DE US","(38.68974, -75.36246)",38.69011,-75.38547,Georgetown,Delaware,Sussex County,US
"ELAZIG, TU","(38.606925, 39.291417)",38.58241,39.3396,Mollakendi,Elazig,,TR
"HAVRE ST PIERRE, CA","(50.2666666, -63.6)",50.24342,-63.60264,Havre-Saint-Pierre,Quebec,Cote-Nord,CA
"ALEXANDROS PAPADIAMANTIS, GR","(39.1771, 23.503675)",39.16227,23.49089,Skiathos,Thessaly,Nomos Magnisias,GR
"HAZRAT SHAHJALAL INTERNATIONAL, BG","(23.843333, 90.397781)",23.89154,90.40232,Tungi,Dhaka,,BD
"FROSINONE IT AFB, IT","(41.6333333, 13.3)",41.63759,13.33541,Frosinone,Latium,Provincia di Frosinone,IT
"BAKER LAKE, CA","(64.31667, -96.0)",62.81732,-92.08324,Rankin Inlet,Nunavut,,CA
"MONEY POINT VA, VA US","(36.77, -76.3)",36.81904,-76.27494,Chesapeake,Virginia,City of Chesapeake,US
"ODIHAM, UK","(51.234139, -0.942825)",51.21667,-0.93333,Long Sutton,England,Hampshire,GB
"IJMOND, NL","(52.4666666, 4.5166666)",52.37487,4.53409,Zandvoort,North Holland,Gemeente Zandvoort,NL
"SYAMSUDIN NOOR, ID","(-3.442356, 114.762553)",-3.4406,114.8365,Banjarbaru,South Kalimantan,,ID
"AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","(30.18311, -97.67989)",30.26715,-97.74306,Austin,Texas,Travis County,US
"BROOKSVILLE HERNANDO CO AIRPORT, FL US","(28.47388, -82.45374)",28.44167,-82.45704,Masaryktown,Florida,Hernando County,US
"CHANGLING, CH","(44.25, 123.9666666)",44.26532,124.00045,Changling,Jilin Sheng,,CN
"TIMISKAMING REGIONAL EARLTON, CA","(47.7, -79.85)",47.81686,-79.8664,Englehart,Ontario,,CA
"ITHACA TOMPKINS CNTY, NY US","(42.48333, -76.46667)",42.48424,-76.47994,Lansing,New York,Tompkins County,US
"LABE, GV","(11.326058, -12.28685)",11.31823,-12.28332,Labe,Labe,Labe Prefecture,GN
"FAHY BONCOURT, SZ","(47.4333333, 6.95)",47.4899,6.92407,Beaucourt,Franche-Comte,Territoire de Belfort,FR
"SARNIA, CA","(43.0, -82.3166666)",42.97866,-82.40407,Sarnia,Ontario,Lambton County,CA
"NYERI, KE","(-0.5, 36.9666667)",-0.56515,36.96091,Othaya,Nyeri,,KE
"MAASIN, RP","(10.1333333, 124.8666666)",10.12472,124.88417,Ibarra,Eastern Visayas,Province of Southern Leyte,PH
"SIGHETUL MARMATIEI, RO","(47.9333333, 23.9)",47.93195,23.88603,Sighetu Marmatiei,Maramures,Municipiul Sighetu Marmatiei,RO
"HOPA, TU","(41.4, 41.4333333)",41.39046,41.41966,Hopa,Artvin,,TR
"KEMIONSAARI VANO, FI","(59.8666666, 22.2)",60.06667,22.48333,Dragsfjaerd,Varsinais-Suomi,Aboland-Turunmaa,FI
"SOROCHINSK, RS","(52.4333333, 53.1333333)",52.4338,53.1583,Sorochinsk,Orenburg,,RU
"CHORNOMORS KE, UP","(45.5166666, 32.7)",45.50657,32.69776,Chornomors'ke,Crimea,,UA
"ENGOZERO, RS","(65.7833333, 33.9333333)",66.07616,33.04745,Loukhi,Republic of Karelia,,RU
"SINAIA 1500, RO","(45.35, 25.5)",45.35,25.55,Sinaia,Prahova,Oras Sinaia,RO
"SHANGALY, RS","(61.1333333, 43.35)",61.05328,43.90021,Ileza,Arkhangelskaya,,RU
"NABOUWALU, FJ","(-17.0, 178.7)",-16.41667,179.38333,Lambasa,Northern,,FJ
"SUDBURY CLIMATE, CA","(46.633333, -80.8)",46.49,-80.99001,Greater Sudbury,Ontario,,CA
"POINTE CLAVEAU QUE, CA","(48.2666666, -70.1166666)",47.654,-70.15268,La Malbaie,Quebec,Capitale-Nationale,CA
"CUMMINS AERO, AS","(-34.25, 135.7166666)",-34.26396,135.726,Cummins,South Australia,Lower Eyre Peninsula,AU
"ALBACETE, SP","(38.948528, -1.863517)",38.99424,-1.85643,Albacete,Castille-La Mancha,Provincia de Albacete,ES
"VARANUS ISLAND, AS","(-20.65, 115.5666666)",-20.66275,116.71256,Dampier,Western Australia,Roebourne,AU
"HOLAR I DYRAFIRDI, IC","(65.8666666, -23.6)",66.07475,-23.13498,Isafjoerdur,Westfjords,,IS
"CHIMBAJ, UZ","(42.95, 59.8166666)",42.92952,59.78199,Chimboy Shahri,Karakalpakstan,,UZ
"BULKEN, NO","(60.65, 6.2166666)",60.62869,6.41474,Voss,Hordaland,Voss,NO
"PAMPULHA CARLOS DRUMMOND DE ANDRADE, BR","(-19.851181, -43.950628)",-19.92083,-43.93778,Belo Horizonte,Minas Gerais,Belo Horizonte,BR
"BAKER LAKE CLIMATE NU, CA","(64.3166666, -96.0)",62.81732,-92.08324,Rankin Inlet,Nunavut,,CA
"HUNTSVILLE INTNL AIRPORT, AL US","(34.64406, -86.78615)",34.69926,-86.74833,Madison,Alabama,Madison County,US
"SOUTH DOUGLAS, AK US","(58.2666666, -134.4333333)",58.30194,-134.41972,Juneau,Alaska,Juneau City and Borough,US
"PORT WASHINGTON, WI US","(43.38, -87.87)",43.38722,-87.87564,Port Washington,Wisconsin,Ozaukee County,US
"KULYAB, TI","(37.9166666, 69.7833333)",37.91459,69.78454,Kulob,Khatlon,,TJ
"ARZEW, AG","(35.8166666, -0.2666666)",35.80389,-0.30178,Ain el Bya,Oran,,DZ
"COXIM, BR","(-18.5166666, -54.7333333)",-18.50667,-54.76,Coxim,Mato Grosso do Sul,Coxim,BR
"SEBYAN KYUEL, RS","(65.3, 130.0)",67.79846,130.40119,Batagay-Alyta,Sakha,,RU
"RAFAEL NUNEZ, CO","(10.442381, -75.512961)",10.39972,-75.51444,Cartagena,Bolivar,,CO
"CORDOVA AIRPORT, AK US","(60.48604, -145.4445)",60.54278,-145.7575,Cordova,Alaska,Valdez-Cordova Census Area,US
"SOGNDAL HAUKASEN, NO","(61.156111, 7.136614)",61.22575,7.10178,Sogndalsfjora,Sogn og Fjordane,Sogndal,NO
"GLADHAMMAR, SW","(57.7, 16.4666666)",57.7,16.31667,Ankarsrum,Kalmar,Vasterviks Kommun,SE
"GAGARIN, RS","(55.5166666, 35.0333333)",55.55291,34.99537,Gagarin,Smolensk,,RU
"DE QUINCY INDUSTRIAL AIRPARK, LA US","(30.44105, -93.47361)",30.45048,-93.43322,DeQuincy,Louisiana,Calcasieu Parish,US
"ZLIKHA, KZ","(45.25, 67.0666666)",44.16882,66.73887,Shieli,Qyzylorda,,KZ
"LAMERD, IR","(27.372744, 53.188794)",27.334,53.179,Lamerd,Fars,,IR
"BANJUL HALF DIE, GA","(13.45, -16.45)",13.48389,-16.53472,Essau,North Bank,,GM
"JERUSALEM CENTER, IS","(31.7666666, 35.2166666)",31.76904,35.21633,Jerusalem,Jerusalem,,IL
"TUNNAK FIRE STATION, AS","(-42.45, 147.4666666)",-42.78161,147.56267,Sorell,Tasmania,Sorell,AU
"LONGVIC, FR","(47.26889, 5.09)",47.26164,5.07395,Ouges,Bourgogne,Departement de la Cote-d'Or,FR
"WENDOVER USAF AUXILIARY FIELD, UT US","(40.7206, -114.0358)",40.73715,-114.03751,Wendover,Utah,Tooele County,US
"VJAZ MA, RS","(55.1666666, 34.4)",55.21039,34.29508,Vyaz'ma,Smolensk,,RU
"A CORUNA, SP","(43.302061, -8.377256)",43.28788,-8.38858,Culleredo,Galicia,Provincia da Coruna,ES
"WITBANK, SF","(-25.8333333, 29.1833333)",-25.87133,29.23323,Witbank,Mpumalanga,Nkangala District Municipality,ZA
"MOKOHINAU AWS, NZ","(-35.9, 175.1)",-35.90818,174.45019,Ruakaka,Northland,Whangarei,NZ
"KISTEFJELL, NO","(69.2833333, 18.1333333)",69.14527,18.15292,Sorreisa,Troms,Sorreisa,NO
"SHAHRUD, IR","(36.4166666, 54.95)",36.41819,54.97628,Shahrud,Semnan,,IR
"SAGUACHE MUNICIPAL AIRPORT, CO US","(38.09722, -106.16889)",38.0875,-106.14197,Saguache,Colorado,Saguache County,US
"BEDFORD, UK","(52.2166666, -0.4833333)",52.25213,-0.47928,Riseley,England,Bedford,GB
"AUSTIN MUNICIPAL AIRPORT, MN US","(43.66472, -92.93333)",43.66663,-92.97464,Austin,Minnesota,Mower County,US
"MERZIFON, TU","(40.829375, 35.521992)",40.87333,35.46306,Merzifon,Amasya,,TR
"TOLEDO EXECUTIVE AIRPORT, OH US","(41.56327, -83.47671)",41.58783,-83.49327,Walbridge,Ohio,Wood County,US
"WATONGA AIRPORT, OK US","(35.86444, -98.42056)",35.84477,-98.41313,Watonga,Oklahoma,Blaine County,US
"ZONGULDAK, TU","(41.45, 31.8)",41.45139,31.79305,Zonguldak,Zonguldak,,TR
"LOHJA PORLA, FI","(60.25, 24.05)",60.24859,24.06534,Lohja,Uusimaa,Helsinki,FI
"VIROLAHTI KOIVUNIEMI, FI","(60.5333333, 27.6666666)",60.51667,27.68306,Virolahti,Kymenlaakso,Kotka-Hamina,FI
"ERZURUM, TU","(39.956501, 41.170166)",39.94627,41.10906,Ilica,Erzurum,,TR
"WAINWRIGHT CFB AIRFIELD 21 ALTA, CA","(52.8166666, -111.1)",52.83904,-110.85723,Wainwright,Alberta,,CA
"SIDI BOUZID, TS","(35.0, 9.4833333)",35.03823,9.48494,Sidi Bouzid,Sidi Bu Zayd,,TN
"CULIACAN INTERNATIONAL, MX","(24.764547, -107.474717)",24.72389,-107.45194,El Diez,Sinaloa,Culiacan,MX
"MONTE CRISTI, DR","(19.8833333, -71.65)",19.84826,-71.64597,San Fernando de Monte Cristi,Monte Cristi,,DO
"UHTA, RS","(63.55, 53.8166666)",63.60229,53.88175,Sosnogorsk,Komi Republic,,RU
"SHEARWATER JETTY, CA","(44.63, -63.52)",44.64533,-63.57239,Halifax,Nova Scotia,,CA
"TINDOUF, AG","(27.700372, -8.167103)",27.67111,-8.14743,Tindouf,Tindouf,,DZ
"RIVNE INTERNATIONAL, UP","(50.607142, 26.141622)",50.60145,26.18486,Tynne,Rivne,,UA
"VERSAILLES 3 NNW, KY US","(38.0945, -84.7465)",38.05258,-84.72995,Versailles,Kentucky,Woodford County,US
"SUNAYNAH, MU","(23.7166666, 55.9)",24.19167,55.76056,Al Ain,Abu Dhabi,,AE
"LANCASTER FAIRFIELD CO AIRPORT, OH US","(39.75725, -82.66333)",39.71368,-82.59933,Lancaster,Ohio,Fairfield County,US
"TABUK, SA","(28.365417, 36.618889)",28.3998,36.57151,Tabuk,Mintaqat Tabuk,,SA
"OKECIE, PL","(52.16575, 20.967122)",52.17941,20.94612,Wlochy,Masovian Voivodeship,Warszawa,PL
"YE, BM","(15.25, 97.8666666)",15.15553,98.45361,Sangkhla Buri,Kanchanaburi,,TH
"REYKJAVIK, IC","(64.1333333, -21.9)",64.13548,-21.89541,Reykjavik,Capital Region,,IS
"MACHRIHANISH, UK","(55.4333333, -5.7)",55.42583,-5.60764,Campbeltown,Scotland,Argyll and Bute,GB
"FULLERTON MUNICIPAL AIRPORT, CA US","(33.87154, -117.98561)",33.86751,-117.99812,Buena Park,California,Orange County,US
"OREBRO, SW","(59.223733, 15.037956)",59.25,14.95,Vintrosa,OErebro,Orebro Kommun,SE
"CAT BI INTERNATIONAL ARPT HAI PHONG, VM","(20.8194007, 106.724998)",20.86481,106.68345,Haiphong,Hai Phong,,VN
"JUNGWON AB, KS","(37.029997, 127.885267)",36.81083,127.79472,Koesan,Chungcheongbuk-do,,KR
"WIELUN, PL","(51.2166666, 18.5666666)",51.22097,18.56964,Wielun,Lodz Voivodeship,Powiat wielunski,PL
"YONAGO, JA","(35.4333333, 133.3333333)",35.43333,133.33333,Yonago,Tottori,,JP
"OKLAHOMA CITY WILEY POST AIRPORT, OK US","(35.54113, -97.64725)",35.51867,-97.63226,Bethany,Oklahoma,Oklahoma County,US
"HOPE AUT BC, CA","(49.3666666, -121.4833333)",49.38299,-121.44144,Hope,British Columbia,,CA
"IHRT, TI","(38.1666666, 72.6333333)",37.94487,71.55745,Rushon,Gorno-Badakhshan,,TJ
"QUONSET POINT, RI US","(41.58, -71.4)",41.5501,-71.46617,North Kingstown,Rhode Island,Washington County,US
"INGONISH BEACH CS, CA","(46.6666666, -60.4)",46.23669,-60.21767,Sydney Mines,Nova Scotia,,CA
"POINT PELEE CS ONT, CA","(41.9333333, -82.5166666)",41.44894,-82.70796,Sandusky,Ohio,Erie County,US
"JOHN DAY 35 WNW, OR US","(44.556, -119.6459)",44.41599,-118.95301,John Day,Oregon,Grant County,US
"COLUMBUS METROPOLITAN AIRPORT, GA US","(32.51625, -84.94218)",32.46098,-84.98771,Columbus,Georgia,Muscogee County,US
